SECOND_FLD,review-count
12353_26940,5.0
12353_26944,13.0
12353_26952,10.0
12353_26965,0.0
12353_26982,0.0
12353_26990,118.0
12353_26991,0.0
12353_26993,76.0
12353_26995,2132.0
12353_26998,13.0
12353_26999,157.0
12353_27003,2081.0
12353_27008,1.0
12353_27009,6.0
12353_27011,5.0
12353_27014,0.0
12353_27026,168.0
12353_27028,2.0
12353_27029,2.0
12354_26935,0.0
12354_26937,7.0
12354_26939,6.0
12354_26940,8.0
12354_26944,0.0
12354_26946,0.0
12354_26947,0.0
12354_26952,0.0
12354_26972,3.0
12354_26973,149.0
12354_26982,59.0
12354_26991,18.0
12354_26992,173.0
12354_26993,66.0
12354_26995,8133.0
12354_26996,2.0
12354_26998,0.0
12354_26999,83.0
12354_27002,0.0
12354_27003,480.0
12354_27009,9.0
12354_27011,0.0
12354_27032,5.0
12354_27033,2.0
12355_26935,0.0
12355_26936,0.0
12355_26938,2.0
12355_26939,14.0
12355_26940,0.0
12355_26941,0.0
12355_26942,1.0
12355_26943,0.0
12355_26944,348.0
12355_26960,1.0
12355_26964,0.0
12355_26965,35.0
12355_26973,587.0
12355_26978,0.0
12355_26983,4.0
12355_26990,12.0
12355_26991,505.0
12355_26992,23.0
12355_26996,216.0
12355_26999,90.0
12355_27000,1.0
12355_27003,1.0
12355_27005,0.0
12355_27018,32.0
12355_27027,1.0
12355_27031,0.0
12355_27043,0.0
12356_26935,0.0
12356_26939,0.0
12356_26949,1.0
12356_26957,3.0
12356_26963,0.0
12356_26967,6.0
12356_26969,2.0
12356_26970,207.0
12356_26971,197.0
12356_26972,187.0
12356_26973,70.0
12356_26984,7.0
12356_26985,1.0
12356_26988,1.0
12356_26991,0.0
12356_26992,3954.0
12356_26996,404.0
12356_26997,52.0
12356_26998,451.0
12356_26999,1.0
12356_27000,209.0
12356_27001,1.0
12356_27002,0.0
12356_27003,0.0
12356_27004,290.0
12356_27012,0.0
12356_27014,0.0
12356_27015,0.0
12356_27019,9.0
12356_27027,5.0
12356_27029,4.0
12356_27030,7.0
12356_27042,0.0
12356_27043,0.0
12356_27046,2.0
12357_26934,4.0
12357_26935,4.0
12357_26938,2.0
12357_26949,1.0
12357_26973,0.0
12357_26986,37.0
12357_26992,3338.0
12357_27003,18.0
12357_27004,258.0
12357_27005,0.0
12357_27011,1.0
12357_27012,1.0
12357_27017,18.0
12357_27018,18.0
12357_27019,0.0
12357_27022,9.0
12357_27023,0.0
12357_27025,0.0
12357_27026,0.0
12357_27027,2.0
12357_27029,1.0
12357_27030,5.0
12357_27037,0.0
12357_27038,0.0
12357_27043,1.0
12357_27044,1.0
12358_26928,0.0
12358_26933,3.0
12358_26949,2.0
12358_26958,0.0
12358_26965,0.0
12358_26966,0.0
12358_26975,73.0
12358_26993,21.0
12358_26998,0.0
12358_27002,236.0
12358_27003,127.0
12358_27004,2171.0
12358_27005,1.0
12358_27010,0.0
12358_27013,0.0
12358_27014,0.0
12358_27015,0.0
12358_27016,11.0
12358_27017,2.0
12358_27018,2.0
12358_27019,2387.0
12358_27020,660.0
12358_27021,4.0
12358_27022,0.0
12358_27023,179.0
12358_27024,2.0
12358_27032,24.0
12358_27036,0.0
12358_27038,0.0
12358_27041,0.0
12358_27042,0.0
12358_27043,1.0
12359_26932,14.0
12359_26933,7.0
12359_26934,2.0
12359_26965,0.0
12359_26975,45.0
12359_26990,195.0
12359_26991,1.0
12359_26992,244.0
12359_26995,2.0
12359_27002,6.0
12359_27003,1106.0
12359_27004,63.0
12359_27005,15.0
12359_27012,0.0
12359_27013,4.0
12359_27016,0.0
12359_27017,17.0
12359_27018,2832.0
12359_27019,10705.0
12359_27020,1834.0
12359_27021,12.0
12359_27022,5.0
12359_27023,3.0
12359_27028,0.0
12359_27036,0.0
12359_27038,1.0
12359_27040,0.0
12359_27041,0.0
12360_26930,0.0
12360_26931,12.0
12360_26932,11.0
12360_26933,644.0
12360_26974,417.0
12360_26975,21.0
12360_26992,85.0
12360_26995,0.0
12360_26998,2020.0
12360_26999,0.0
12360_27000,1.0
12360_27001,7.0
12360_27002,3.0
12360_27003,1.0
12360_27004,1270.0
12360_27005,0.0
12360_27011,0.0
12360_27016,2.0
12360_27017,9281.0
12360_27018,16428.0
12360_27019,31578.0
12360_27020,8993.0
12360_27021,3269.0
12360_27022,0.0
12360_27023,584.0
12360_27026,0.0
12360_27027,0.0
12360_27028,2.0
12360_27040,0.0
12361_26931,0.0
12361_26932,26.0
12361_26933,457.0
12361_26938,12.0
12361_26939,1.0
12361_26941,86.0
12361_26972,4.0
12361_26974,225.0
12361_26975,472.0
12361_26992,126.0
12361_26998,645.0
12361_26999,194.0
12361_27000,213.0
12361_27002,8.0
12361_27003,1933.0
12361_27004,1.0
12361_27005,0.0
12361_27010,0.0
12361_27011,11.0
12361_27012,0.0
12361_27013,0.0
12361_27015,63.0
12361_27016,7058.0
12361_27017,6420.0
12361_27018,879.0
12361_27019,14319.0
12361_27020,92.0
12361_27021,0.0
12361_27022,0.0
12361_27023,10.0
12361_27031,1.0
12361_27047,0.0
12362_26935,6.0
12362_26937,0.0
12362_26938,59.0
12362_26939,695.0
12362_26940,136.0
12362_26941,11.0
12362_26942,562.0
12362_26943,19.0
12362_26964,2.0
12362_26967,7.0
12362_26970,0.0
12362_26976,1.0
12362_26982,0.0
12362_26983,2.0
12362_26984,16.0
12362_26985,49.0
12362_26988,0.0
12362_26993,2.0
12362_26994,924.0
12362_26995,21.0
12362_26996,254.0
12362_26998,683.0
12362_26999,0.0
12362_27000,212.0
12362_27001,229.0
12362_27002,2753.0
12362_27003,951.0
12362_27004,0.0
12362_27005,23.0
12362_27011,0.0
12362_27012,0.0
12362_27013,0.0
12362_27014,3.0
12362_27015,21.0
12362_27016,140.0
12362_27017,14.0
12362_27018,7338.0
12362_27019,995.0
12362_27023,13.0
12362_27024,20.0
12362_27032,18.0
12362_27033,2.0
12362_27034,1.0
12363_26942,67.0
12363_26943,70.0
12363_26944,2.0
12363_26952,1.0
12363_26959,0.0
12363_26963,1.0
12363_26964,224.0
12363_26980,21.0
12363_26985,2.0
12363_26992,0.0
12363_26997,11.0
12363_26999,46.0
12363_27001,10.0
12363_27002,30.0
12363_27004,47.0
12363_27005,0.0
12363_27013,2.0
12363_27014,1.0
12363_27015,0.0
12363_27018,7742.0
12363_27019,3.0
12363_27020,0.0
12363_27021,1.0
12363_27022,0.0
12363_27024,0.0
12363_27045,24.0
12363_27049,0.0
12363_27050,11.0
12363_27052,0.0
12364_26940,1.0
12364_26941,6.0
12364_26945,59.0
12364_26947,251.0
12364_26959,65.0
12364_26985,4.0
12364_26990,0.0
12364_26993,5.0
